[15:38:54] Uygulama başlatıldı.
[15:39:01] Tıklama Başladı
[15:39:01] Tıklama #1
[15:39:01] Tıklama #2
[15:39:02] Tıklama #3
[15:39:02] Tıklama #4
[15:39:02] Tıklama #5
[15:39:02] Tıklama Durdu
[15:39:02] Tıklama #6
[15:39:03] Tıklama Başladı
[15:39:03] Tıklama #7
[15:39:03] Tıklama #8
[15:39:03] Tıklama #9
[15:39:03] Tıklama aralığı güncellendi: 99 ms
[15:39:04] Tıklama #10
[15:39:04] Tıklama aralığı güncellendi: 100 ms
[15:39:04] Tıklama aralığı güncellendi: 101 ms
[15:39:04] Tıklama #11
[15:39:04] Tıklama aralığı güncellendi: 102 ms
[15:39:04] Tıklama #12
[15:39:04] Tıklama aralığı güncellendi: 103 ms
[15:39:04] Tıklama #13
[15:39:04] Tıklama aralığı güncellendi: 104 ms
[15:39:04] Tıklama #14
[15:39:05] Tıklama aralığı güncellendi: 105 ms
[15:39:05] Tıklama #15
[15:39:05] Tıklama #16
[15:39:05] Tıklama #17
[15:39:05] Tıklama #18
[15:39:05] Tıklama #19
[15:39:06] Tıklama #20
[15:39:06] Tıklama #21
[15:39:06] Tıklama #22
[15:39:06] Tıklama #23
[15:39:07] Tıklama #24
[15:39:07] Tıklama #25
[15:39:07] Tıklama #26
[15:39:07] Tıklama #27
[15:39:08] Tıklama #28
[15:39:08] Tıklama #29
[15:39:08] Tıklama #30
[15:39:08] Tıklama #31
[15:39:08] Tıklama #32
[15:39:09] Tıklama #33
[15:39:09] Tıklama #34
[15:39:09] Tıklama #35
[15:39:09] Tıklama #36
[15:39:09] Tıklama #37
[15:39:10] Tıklama #38
[15:39:10] Tıklama #39
[15:39:10] Tıklama #40
[15:39:10] Tıklama #41
[15:39:11] Tıklama #42
[15:39:11] Tıklama #43
[15:39:11] Tıklama #44
[15:39:11] Tıklama #45
[15:39:11] Tıklama #46
[15:39:12] Tıklama #47
[15:39:12] Tıklama #48
[15:39:12] Tıklama #49
[15:39:12] Tıklama #50
[15:39:12] Tıklama #51
[15:39:13] Tıklama #52
[15:39:13] Tıklama #53
[15:39:13] Tıklama #54
[15:39:13] Tıklama #55
[15:39:14] Tıklama #56
[15:39:14] Tıklama #57
[15:39:14] Tıklama #58
[15:39:14] Tıklama #59
[15:39:14] Tıklama #60
[15:39:15] Tıklama #61
[15:39:15] Tıklama #62
[15:39:15] Tıklama #63
[15:39:15] Tıklama #64
[15:39:15] Tıklama #65
[15:39:16] Tıklama #66
[15:39:16] Tıklama #67
[15:39:16] Tıklama #68
[15:39:16] Tıklama #69
[15:39:17] Tıklama #70
[15:39:17] Tıklama #71
[15:39:17] Tıklama #72
[15:39:17] Tıklama #73
[15:39:18] Tıklama #74
[15:39:18] Tıklama #75
[15:39:18] Tıklama #76
[15:39:18] Tıklama #77
[15:39:18] Tıklama #78
[15:39:19] Tıklama #79
[15:39:19] Tıklama #80
[15:39:19] Tıklama #81
